City,Province
Singkawang,KALIMANTAN BARAT
Bekasi,JAWA BARAT
Salatiga,JAWA TENGAH
Manado,SULAWESI UTARA
Semarang,JAWA TENGAH
Magelang,JAWA TENGAH
Kediri,JAWA TIMUR
Sukabumi,JAWA BARAT
Kupang,NUSA TENGGARA TIMUR
Surakarta,JAWA TENGAH
Pematang Siantar,SUMATERA UTARA
Bogor,JAWA BARAT
Banjarmasin,KALIMANTAN SELATAN
Ambon,MALUKU
Bandung,JAWA BARAT
Surabaya,JAWA TIMUR
Tomohon,SULAWESI UTARA
Pontianak,KALIMANTAN BARAT
Yogyakarta,DAERAH ISTIMEWA YOGYAKARTA
Malang,JAWA TIMUR
Madiun,JAWA TIMUR
Batu,JAWA TIMUR
Jayapura,IRIAN JAYA TIMUR
Probolinggo,JAWA TIMUR
Cimahi,JAWA BARAT
Denpasar,BALI
Palu,SULAWESI TENGAH
Batam,RIAU
Tegal,JAWA TENGAH
Sorong,IRIAN JAYA BARAT
Sibolga,SUMATERA UTARA
Tanjung Pinang,RIAU
Palangkaraya,KALIMANTAN TENGAH
Samarinda,KALIMANTAN TIMUR
Kendari,SULAWESI TENGGARA
Bitung,SULAWESI UTARA
Tangerang,PROBANTEN
Pangkal Pinang,BANGKA BELITUNG
Mojokerto,JAWA TIMUR
Tarakan,KALIMANTAN TIMUR
Tual,MALUKU
Pare Pare,SULAWESI SELATAN
Binjai,SUMATERA UTARA
Kotamobagu,SULAWESI UTARA
Gunung sitoli,SUMATERA UTARA
Cirebon,JAWA BARAT
Tangerang Selatan,PROBANTEN
Solok,SUMATERA BARAT
Bengkulu,BENGKULU
Sawahlunto,SUMATERA BARAT
Langsa,DI. ACEH
Bukittinggi,SUMATERA BARAT
Bontang,KALIMANTAN TIMUR
Gorontalo,GORONTALO
Serang,PROBANTEN
Tanjung Balai,SUMATERA UTARA
Banjar,KALIMANTAN SELATAN
Ternate,MALUKU UTARA
Tebing Tinggi,SUMATERA UTARA
Jambi,JAMBI
Tasikmalaya,JAWA BARAT
Makassar,SULAWESI SELATAN
Pasuruan,JAWA TIMUR
Palopo,SULAWESI SELATAN
Metro,LAMPUNG
Blitar,JAWA TIMUR
Lubuk Linggau,SUMATERA SELATAN
DKI Jakarta,DKI JAKARTA
Padang Panjang,SUMATERA BARAT
Dumai,RIAU
Prabumuli,SUMATERA SELATAN
Payakumbuh,SUMATERA BARAT
Medan,SUMATERA UTARA
Bima,NUSATENGGARA BARAT
Bau Bau,SULAWESI TENGGARA
Banjarbaru,KALIMANTAN SELATAN
Tidore Kepulauan,MALUKU UTARA
Sungai Penuh,JAMBI
Pariaman,SUMATERA BARAT
Balikpapan,KALIMANTAN TIMUR
Pagar Alam,SUMATERA SELATAN
Padangsidimpuan,SUMATERA UTARA
Subulussalam,DI. ACEH
Pekalongan,JAWA TENGAH
Sabang,DI. ACEH
Bandar Lampung,LAMPUNG
Palembang,SUMATERA SELATAN
Pekanbaru,RIAU
Mataram,NUSATENGGARA BARAT
Lhokseumawe,DI. ACEH
Padang,SUMATERA BARAT
Banda Aceh,DI. ACEH
Cilegon,PROBANTEN
Depok,JAWA BARAT
